Isaac Hayes;Theme From Shaft;Isaac Hayes;1971;Soul / Funk / Disco;7A3;Lucifer;Coolin' in Cali ;1988;S;4;http://www.whosampled.com/sample/view/116321/7A3-Lucifer_Isaac%20Hayes-Theme%20From%20Shaft/
Isaac Hayes;Walk on By;Hot Buttered Soul;1969;Soul / Funk / Disco;Alicia Keys;If I Was Your Woman/Walk on By;Diary of Alicia Keys;2003;S;0;http://www.whosampled.com/sample/view/9512/Alicia%20Keys-If%20I%20Was%20Your%20Woman/Walk%20on%20By_Isaac%20Hayes-Walk%20on%20By/
Isaac Hayes;You've Lost That Lovin' Feelin';To Be Continued;1970;Soul / Funk / Disco;Jeru the Damaja;Jungle Music;The Sun Rises in the East;1994;S;4;http://www.whosampled.com/sample/view/2998/Jeru%20the%20Damaja-Jungle%20Music_Isaac%20Hayes-You've%20Lost%20That%20Lovin'%20Feelin'/
Isaac Hayes;Joy;Joy;1973;Soul / Funk / Disco;Spice 1;Money or Murder;Spice 1;1992;R;2;http://www.whosampled.com/sample/view/7183/Spice%201-Money%20or%20Murder_Isaac%20Hayes-Joy/
Isaac Hayes;Title Theme;Tough Guys;1974;Soul / Funk / Disco;Kid Loco;Relaxin' With Cherry;A Grand Love Story;1997;S;1;http://www.whosampled.com/sample/view/128458/Kid%20Loco-Relaxin'%20With%20Cherry_Isaac%20Hayes-Title%20Theme/
Isaac Hayes;Theme From Shaft;Isaac Hayes;1971;Soul / Funk / Disco;Beogradski Sindikat;Himna;Predstavlja: Džukački Sindikat - Govedina;2002;S;4;http://www.whosampled.com/sample/view/63987/Beogradski%20Sindikat-Himna_Isaac%20Hayes-Theme%20From%20Shaft/
Isaac Hayes;Theme From Shaft;Isaac Hayes;1971;Soul / Funk / Disco;N.W.A;100 Miles and Runnin';100 Miles and Runnin' EP;1990;S;4;http://www.whosampled.com/sample/view/40752/N.W.A-100%20Miles%20and%20Runnin'_Isaac%20Hayes-Theme%20From%20Shaft/
Isaac Hayes;The Look of Love;...To Be Continued;1970;Soul / Funk / Disco;Westpark Unit;Soul for Your Soul;Collected Selected Related;2002;S;0;http://www.whosampled.com/sample/view/98724/Westpark%20Unit-Soul%20for%20Your%20Soul_Isaac%20Hayes-The%20Look%20of%20Love/
Isaac Hayes;Walk From Regio's;Shaft;1971;Soul / Funk / Disco;Frayser Boy;Hydro Weed;Gone on That Bay;2003;S;0;http://www.whosampled.com/sample/view/97201/Frayser%20Boy-Hydro%20Weed_Isaac%20Hayes-Walk%20From%20Regio's/
Isaac Hayes;(If Loving You Is Wrong) I Don't Want to Be Right;;1973;Soul / Funk / Disco;Bossman;You're Wrong;;2006;S;4;http://www.whosampled.com/sample/view/66261/Bossman-You're%20Wrong_Isaac%20Hayes-(If%20Loving%20You%20Is%20Wrong)%20I%20Don't%20Want%20to%20Be%20Right/
